,Sentence,Name,Disease,SSNs,Dates,Address,City,Zipcode,Url,Account,Medical Record,Contact,Email,Passport,IP Address
13,"Mr Lyle Gusikowski is suffering from headache . Patient SSN 182-73-1694 . He arrived on 1926. 2. 9 . Patient is from 686 Buckridge Bypass Plymouth , 2633 .
Advised him to reach http://soundcloud.com/edharris/dj-set-juli-2010 . Patient account number 8141794660 . Medical record Id ID2508647 . Patient 06971-03521-84 Email is MartyAbshire@mail2northamerica.com
Patient Id X9945871 . IP address 77.87.144.0",Lyle Gusikowski,headache,182-73-1694,1926. 2. 9,686 Buckridge Bypass,Plymouth,2633,http://soundcloud.com/edharris/dj-set-juli-2010,8141794660,ID2508647,06971-03521-84,MartyAbshire@mail2northamerica.com,X9945871,77.87.144.0
14,"Mr Zita Green has  cough . Patient SSN 324-54-6785 . He came on 13.11.1976 . Patient home address is  226 Bogan Fort Billerica , 1921 .
we gave him http://www.youtube.com/watch?v=9eOX2HP-eqc . Patient account number 7136100022 . Medical record Id MR8054520 . Patient 0426-496-54 02 Email is ArianeKshlerin@cracker.hu
Patient Id 0860138 . Here is the IP 89.40.76.0",Zita Green,cough,324-54-6785,13.11.1976,226 Bogan Fort,Billerica,1921,http://www.youtube.com/watch?v=9eOX2HP-eqc,7136100022,MR8054520,0426-496-54 02,ArianeKshlerin@cracker.hu,0860138,89.40.76.0
15,"Mrs Monte Maggio is suffering from heart attack . Her SSN 483-44-0029 . She contacted on ๓/๖/๒๕๕๕ . Patient is from 524 Brekke Dale Suite 9 Lexington , 1201 .
Advised her to reach http://www.ted.com/talks/bono_s_call_to_action_for_africa.html . Patient account number is  8429989848 . Medical record Id ID6257305 . Her 0658-795165 Email is DungFarrell@farang.net
Patient Id WUNX98400 . IP address 2.59.204.0",Monte Maggio,heart attack,483-44-0029,๓/๖/๒๕๕๕,524 Brekke Dale Suite 9,Lexington,1201,http://www.ted.com/talks/bono_s_call_to_action_for_africa.html,8429989848,ID6257305,0658-795165,DungFarrell@farang.net,WUNX98400,2.59.204.0
16,"Mr Chong Hickle is suffering from cancer . Patient SSN 867-09-5271 . He arrived on 15.8.2015 . Patient is from 750 Paucek Boulevard Springfield , 2721 .
Advised him to reach http://www.ted.com/talks/peter_gabriel_fights_injustice_with_video.html . Patient account number 4716361426 . Medical record Id CA0628426 . Patient 020 4915824 Email is WendyFranecki@wearab.net
Patient Id Z512040 . IP address 193.22.173.0",Chong Hickle,cancer,867-09-5271,15.8.2015,750 Paucek Boulevard,Springfield,2721,http://www.ted.com/talks/peter_gabriel_fights_injustice_with_video.html,4716361426,CA0628426,020 4915824,WendyFranecki@wearab.net,Z512040,193.22.173.0
17,"Mr Alonso Gerhold is suffering from headache . Patient SSN 903 41 8442 . He arrived on 7/12/1968 . Patient is from 746 Harvey Arcade Apt 63 Eastham , 1001 .
Advised him to reach http://www.youtube.com/watch?v=uAx9OLJuqj8 . Patient account number 8019924540 . Medical record Id CA5897152 . Patient 04238 147-9091 Email is AubreyLehner@mail2maxwell.com
Patient Id F468881 . IP address 5.63.184.0",Alonso Gerhold,headache,903 41 8442,7/12/1968,746 Harvey Arcade Apt 63,Eastham,1001,http://www.youtube.com/watch?v=uAx9OLJuqj8,8019924540,CA5897152,04238 147-9091,AubreyLehner@mail2maxwell.com,F468881,5.63.184.0
18,"Mr Drew Lind is suffering from heart attack . Patient SSN 594-46-1987 . He arrived on 2019-9-13 . Patient is from 769 Wilderman Trailer Marshfield , 2149 .
Advised him to reach http://soundcloud.com/moritzhorn/tracks . Patient account number 5125415267 . Medical record Id MR8504878 . Patient 059-175 871 Email is SimonaMcCullough@quickwebmail.com
Patient Id 22871 . IP address 91.195.32.0",Drew Lind,heart attack,594-46-1987,2019-9-13,769 Wilderman Trailer,Marshfield,2149,http://soundcloud.com/moritzhorn/tracks,5125415267,MR8504878,059-175 871,SimonaMcCullough@quickwebmail.com,22871,91.195.32.0
19,"Mrs Nelda West is suffering from cold . Her SSN 510-53-8317 . She contacted on 1934-7-4 . Patient is from 1057 Davis Walk Suite 15 Bourne , 1951 .
Advised her to reach http://soundcloud.com/k0kz/jeffer-k0kz-minimix . Patient account number is  2453525181 . Medical record Id DS1526516 . Her 05710751721 Email is GwennRunolfsson@freemail.nl
Patient Id D34421460 . IP address 87.253.96.0",Nelda West,cold,510-53-8317,1934-7-4,1057 Davis Walk Suite 15,Bourne,1951,http://soundcloud.com/k0kz/jeffer-k0kz-minimix,2453525181,DS1526516,05710751721,GwennRunolfsson@freemail.nl,D34421460,87.253.96.0
20,"Mr Caroll Kuhic is suffering from Diarrhea . Patient SSN 282-12-0915 . He arrived on 4/2/1950 . Patient is from 689 Ankunding Estate Lunenburg , 2113 .
Advised him to reach http://soundcloud.com/michel-laro/sets . Patient account number 8215751715 . Medical record Id MR5679006 . Patient 06-894 382 Email is MarcelleCrooks@mail2wyoming.com
Patient Id 925438831488 . IP address 203.119.16.0",Caroll Kuhic,Diarrhea,282-12-0915,4/2/1950,689 Ankunding Estate,Lunenburg,2113,http://soundcloud.com/michel-laro/sets,8215751715,MR5679006,06-894 382,MarcelleCrooks@mail2wyoming.com,925438831488,203.119.16.0
21,"Mr Bao Gutmann is suffering from headache . Patient SSN 955 82 9449 . He arrived on 1956.10.7 . Patient is from 139 Kulas Key Malden , 2131 .
Advised him to reach http://soundcloud.com/djozer/djozer-nix-neues . Patient account number 6641821094 . Medical record Id DS0409769 . Patient 08520 196 753 Email is KendraHills@send.hu
Patient Id PEBS52710 . IP address 193.109.121.0",Bao Gutmann,headache,955 82 9449,1956.10.7,139 Kulas Key,Malden,2131,http://soundcloud.com/djozer/djozer-nix-neues,6641821094,DS0409769,08520 196 753,KendraHills@send.hu,PEBS52710,193.109.121.0
22,"Mr Micah Boyer has  fever . Patient SSN 072 36 3049 . He came on 7/4/1920 . Patient home address is  124 Fadel Dam Apt 81 Chester , 2445 .
we gave him http://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us.html . Patient account number 8422233448 . Medical record Id CA9117294 . Patient 06479-814 4908 Email is JamelTurner@o-tay.com
Patient Id 6175137 . Here is the IP 46.235.216.0",Micah Boyer,fever,072 36 3049,7/4/1920,124 Fadel Dam Apt 81,Chester,2445,http://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us.html,8422233448,CA9117294,06479-814 4908,JamelTurner@o-tay.com,6175137,46.235.216.0
23,"Mr Joleen Quitzon is suffering from fever . Patient SSN 764-58-6885 . He arrived on 28.4.1998. . Patient is from 563 Hansen Ranch Haverhill , 1854 .
Advised him to reach http://www.flickr.com/photos/jocke66/4751469904/ . Patient account number 4555926879 . Medical record Id ID9512838 . Patient 069 84-50-7 Email is DanielaHernádez@chinalook.com
Patient Id 1963302 . IP address 103.206.156.0",Joleen Quitzon,fever,764-58-6885,28.4.1998.,563 Hansen Ranch,Haverhill,1854,http://www.flickr.com/photos/jocke66/4751469904/,4555926879,ID9512838,069 84-50-7,DanielaHernádez@chinalook.com,1963302,103.206.156.0
24,"Mr Gilbert Parisian is suffering from headache . Patient SSN 950-90-9958 . He arrived on 28.4.1975. . Patient is from 1076 Roberts Vista Westminster , 1301 .
Advised him to reach http://i178.photobucket.com/albums/w256/d-mag_MPS/Off%20topic/F7.jpg . Patient account number 9581613115 . Medical record Id CA7550150 . Patient 0791 02-671 Email is TawnyPurdy@mail2honey.com
Patient Id 4715172 . IP address 193.110.152.0",Gilbert Parisian,headache,950-90-9958,28.4.1975.,1076 Roberts Vista,Westminster,1301,http://i178.photobucket.com/albums/w256/d-mag_MPS/Off%20topic/F7.jpg,9581613115,CA7550150,0791 02-671,TawnyPurdy@mail2honey.com,4715172,193.110.152.0
25,"Mr Edmund Walker is suffering from cough . Patient SSN 538 32 7746 . He arrived on 14/9/1907 . Patient is from 1027 Bogisich Rapid Unit 22 Medford , 1901 .
Advised him to reach http://www.youtube.com/watch?v=JpQu52GWf_k . Patient account number 6373039018 . Medical record Id CA7809194 . Patient 02413-724 32 83 Email is KareyErdman@karachian.com
Patient Id 1367429 . IP address 91.209.251.0",Edmund Walker,cough,538 32 7746,14/9/1907,1027 Bogisich Rapid Unit 22,Medford,1901,http://www.youtube.com/watch?v=JpQu52GWf_k,6373039018,CA7809194,02413-724 32 83,KareyErdman@karachian.com,1367429,91.209.251.0
26,"Mr Regan Parisian has  cough . Patient SSN 532-52-2843 . He came on 15.8.2015 . Patient home address is  272 O'Connell Stravenue Melrose , 2030 .
we gave him http://tweetphoto.com/31230066 . Patient account number 0926671643 . Medical record Id MR2280237 . Patient 073503 198 Email is CollinBeatty@mail2hawaii.com
Patient Id V006712 . Here is the IP 104.219.188.0",Regan Parisian,cough,532-52-2843,15.8.2015,272 O'Connell Stravenue,Melrose,2030,http://tweetphoto.com/31230066,0926671643,MR2280237,073503 198,CollinBeatty@mail2hawaii.com,V006712,104.219.188.0
27,"Mrs Madelyn Kutch is suffering from Diarrhea . Her SSN 794 90 9007 . She contacted on 15-11-1989 . Patient is from 343 Kessler Lodge Apt 51 Holyoke , 1901 .
Advised her to reach http://www.youtube.com/watch?v=NVWsGt0Oct4 . Patient account number is  4366018110 . Medical record Id CA3242872 . Her 09724 857-6531 Email is JcWaters@mail2france.com
Patient Id 9219532 . IP address 193.104.40.0",Madelyn Kutch,Diarrhea,794 90 9007,15-11-1989,343 Kessler Lodge Apt 51,Holyoke,1901,http://www.youtube.com/watch?v=NVWsGt0Oct4,4366018110,CA3242872,09724 857-6531,JcWaters@mail2france.com,9219532,193.104.40.0
28,"Mrs Carlton Breitenberg is suffering from stomach ache . Her SSN 356-14-5193 . She contacted on 1956.10.7 . Patient is from 409 Tremblay Fort Suite 92 Marlborough , 1887 .
Advised her to reach http://soundcloud.com/psandiflex/dj-psandiflex-mix-set-2010-best-of-vaishiyas-2010 . Patient account number is  0310125463 . Medical record Id CA0175988 . Her 031951 951 Email is GuillerminaMenéndez@mail2senegal.com
Patient Id J62038546 . IP address 185.160.136.0",Carlton Breitenberg,stomach ache,356-14-5193,1956.10.7,409 Tremblay Fort Suite 92,Marlborough,1887,http://soundcloud.com/psandiflex/dj-psandiflex-mix-set-2010-best-of-vaishiyas-2010,0310125463,CA0175988,031951 951,GuillerminaMenéndez@mail2senegal.com,J62038546,185.160.136.0
29,"Mr Cristie Kiehn has  heart attack . Patient SSN 979-14-2659 . He came on 19/4/1903 . Patient home address is  379 Bernhard Station Chicopee , 2126 .
we gave him http://tweetphoto.com/31421017 . Patient account number 0730360358 . Medical record Id CA1841638 . Patient 00378-062 10 03 Email is JulioJuárez@serga.com.ar
Patient Id Y6671569 . Here is the IP 93.179.88.0",Cristie Kiehn,heart attack,979-14-2659,19/4/1903,379 Bernhard Station,Chicopee,2126,http://tweetphoto.com/31421017,0730360358,CA1841638,00378-062 10 03,JulioJuárez@serga.com.ar,Y6671569,93.179.88.0
30,"Mr Walker Will is suffering from heart attack . Patient SSN 217-29-3465 . He arrived on 2-12-1915 . Patient is from 105 Hodkiewicz Port South Hadley , 2494 .
Advised him to reach http://picasaweb.google.com/lh/sredir?uname=plenkey6&target=ALBUM&id=5489430617301300609&authkey=Gv1sRgCN3vgcuR2tLHPA&feat=content_notification . Patient account number 5881186660 . Medical record Id MR9033754 . Patient 09718-36-5 91 Email is DollyMarvin@zwallet.com
Patient Id 0347802 . IP address 64.72.0.0",Walker Will,heart attack,217-29-3465,2-12-1915,105 Hodkiewicz Port,South Hadley,2494,http://picasaweb.google.com/lh/sredir?uname=plenkey6&target=ALBUM&id=5489430617301300609&authkey=Gv1sRgCN3vgcuR2tLHPA&feat=content_notification,5881186660,MR9033754,09718-36-5 91,DollyMarvin@zwallet.com,0347802,64.72.0.0
31,"Mr Bernardo Vallejo has  cold . Patient SSN 282-41-4685 . He came on 25/3/1933 . Patient home address is  768 Marquardt Rest Fitchburg , 1701 .
we gave him http://soundcloud.com/janseddig/intothesoundremix . Patient account number 0821819298 . Medical record Id MR9476107 . Patient 03928 0419690 Email is AnnalisaSchaefer@mailpuppy.com
Patient Id O654409 . Here is the IP 103.30.169.0",Bernardo Vallejo,cold,282-41-4685,25/3/1933,768 Marquardt Rest,Fitchburg,1701,http://soundcloud.com/janseddig/intothesoundremix,0821819298,MR9476107,03928 0419690,AnnalisaSchaefer@mailpuppy.com,O654409,103.30.169.0
32,"Mr Rubye Upton is suffering from stomach ache . Patient SSN 794 90 9007 . He arrived on 25/9/1943 . Patient is from 591 Schowalter Station Grafton , 2635 .
Advised him to reach http://www.youtube.com/watch?v=NzTs9QPXHSA . Patient account number 7577538587 . Medical record Id DS9322603 . Patient 02457-831-12-60 Email is SibylZulauf@me-mail.hu
Patient Id 176991017009 . IP address 46.40.192.0",Rubye Upton,stomach ache,794 90 9007,25/9/1943,591 Schowalter Station,Grafton,2635,http://www.youtube.com/watch?v=NzTs9QPXHSA,7577538587,DS9322603,02457-831-12-60,SibylZulauf@me-mail.hu,176991017009,46.40.192.0
33,"Mrs Wilbur Denesik is suffering from cough . Her SSN 607677360 . She contacted on 5-5-1966 . Patient is from 1001 Friesen Drive Unit 46 Beverly , 2861 .
Advised her to reach http://soundcloud.com/subego/ . Patient account number is  7086623812 . Medical record Id DS6216884 . Her 042 542 89 21 Email is ArgentinaRosenbaum@goodstick.com
Patient Id P0B449785 . IP address 31.10.128.0",Wilbur Denesik,cough,607677360,5-5-1966,1001 Friesen Drive Unit 46,Beverly,2861,http://soundcloud.com/subego/,7086623812,DS6216884,042 542 89 21,ArgentinaRosenbaum@goodstick.com,P0B449785,31.10.128.0
34,"Mr Victor Dickinson has  cold . Patient SSN 205-18-8035 . He came on 27/5/1972 . Patient home address is  861 Roberts Terrace Apt 11 Reading , 1843 .
we gave him http://yfrog.com/jq3072568j . Patient account number 4581007926 . Medical record Id MR4203340 . Patient 0817-549-943 Email is AnnikaGutmann@for-president.com
Patient Id D7595653 . Here is the IP 170.247.96.0",Victor Dickinson,cold,205-18-8035,27/5/1972,861 Roberts Terrace Apt 11,Reading,1843,http://yfrog.com/jq3072568j,4581007926,MR4203340,0817-549-943,AnnikaGutmann@for-president.com,D7595653,170.247.96.0
35,"Mrs Gaylord Denesik is suffering from fever . Her SSN 030-96-2007 . She contacted on 1937/1/7 . Patient is from 107 Adams Ville Mansfield , 2138 .
Advised her to reach http://www.youtube.com/watch?v=cwu1s5u3fIA . Patient account number is  3171806162 . Medical record Id ID2802548 . Her 083452-73 5 5 Email is AlfredLeannon@mail2margie.com
Patient Id K80249761 . IP address 181.224.88.0",Gaylord Denesik,fever,030-96-2007,1937/1/7,107 Adams Ville,Mansfield,2138,http://www.youtube.com/watch?v=cwu1s5u3fIA,3171806162,ID2802548,083452-73 5 5,AlfredLeannon@mail2margie.com,K80249761,181.224.88.0
36,"Mr Ethan Goyette has  heart attack . Patient SSN 671-51-9797 . He came on 27/5/1972 . Patient home address is  784 Frami Ville Apt 45 West Springfield , 2780 .
we gave him http://vimeo.com/11593398 . Patient account number 8695220418 . Medical record Id MR3679055 . Patient 0923714-08-01 Email is HarryMante@fromillinois.com
Patient Id 021996070 . Here is the IP 179.51.207.0",Ethan Goyette,heart attack,671-51-9797,27/5/1972,784 Frami Ville Apt 45,West Springfield,2780,http://vimeo.com/11593398,8695220418,MR3679055,0923714-08-01,HarryMante@fromillinois.com,021996070,179.51.207.0
37,"Mr Reginald Kunze is suffering from cough . Patient SSN 954 72 0205 . He arrived on 3.11.1904 . Patient is from 248 Effertz Quay Suite 19 Burlington , 2125 .
Advised him to reach http://www.youtube.com/watch?v=eM026PSGeqE . Patient account number 2637722845 . Medical record Id MR2328780 . Patient 0596 4287169 Email is LeolaGulgowski@mail2doctor.com
Patient Id 5517991 . IP address 154.72.96.0",Reginald Kunze,cough,954 72 0205,3.11.1904,248 Effertz Quay Suite 19,Burlington,2125,http://www.youtube.com/watch?v=eM026PSGeqE,2637722845,MR2328780,0596 4287169,LeolaGulgowski@mail2doctor.com,5517991,154.72.96.0
38,"Mr Annika Gutmann is suffering from stomach ache . Patient SSN 182-87-9837 . He arrived on 5-5-1966 . Patient is from 562 Windler Tunnel Longmeadow , 2302 .
Advised him to reach http://www.flickr.com/photos/cksample3/4383370686/ . Patient account number 9438262039 . Medical record Id CA3068166 . Patient 05214-721-2004 Email is TeddyCremin@megago.com
Patient Id K2488278 . IP address 93.186.208.0",Annika Gutmann,stomach ache,182-87-9837,5-5-1966,562 Windler Tunnel,Longmeadow,2302,http://www.flickr.com/photos/cksample3/4383370686/,9438262039,CA3068166,05214-721-2004,TeddyCremin@megago.com,K2488278,93.186.208.0
39,"Mr Josiah Stokes is suffering from cold . Patient SSN 097 13 7874 . He arrived on 1/7/1998 . Patient is from 348 Beier Walk Unit 18 Southborough , 2121 .
Advised him to reach http://www.metacafe.com/watch/yt-7XzLbGssArQ/alexander_marcus_papaya/ . Patient account number 9933089845 . Medical record Id ID8356385 . Patient 00264046 6301 Email is SaraArreola@deutschland-net.com
Patient Id 86761022798889 . IP address 45.124.76.0",Josiah Stokes,cold,097 13 7874,1/7/1998,348 Beier Walk Unit 18,Southborough,2121,http://www.metacafe.com/watch/yt-7XzLbGssArQ/alexander_marcus_papaya/,9933089845,ID8356385,00264046 6301,SaraArreola@deutschland-net.com,86761022798889,45.124.76.0
40,"Mrs Rhett Towne is suffering from stomach ache . Her SSN 560-36-2079 . She contacted on 3.5.1967 . Patient is from 857 Kertzmann Village Worcester , 1086 .
Advised her to reach http://yfrog.com/mvsnc00035hj . Patient account number is  3786480247 . Medical record Id CA2712316 . Her 0701023-8432 Email is TiaraReinger@switchboardmail.com
Patient Id DRNZ49621 . IP address 193.22.108.0",Rhett Towne,stomach ache,560-36-2079,3.5.1967,857 Kertzmann Village,Worcester,1086,http://yfrog.com/mvsnc00035hj,3786480247,CA2712316,0701023-8432,TiaraReinger@switchboardmail.com,DRNZ49621,193.22.108.0
41,"Mr Sergio Wolff is suffering from Diarrhea . Patient SSN 684-11-5454 . He arrived on 15.8.2015 . Patient is from 764 Feil Route Athol , 1603 .
Advised him to reach http://soundcloud.com/piere-gorbeatz/tracks . Patient account number 5584610518 . Medical record Id ID0701843 . Patient 080-435-64-96 Email is GiannaKling@.ddns.org
Patient Id J7223875 . IP address 94.156.189.0",Sergio Wolff,Diarrhea,684-11-5454,15.8.2015,764 Feil Route,Athol,1603,http://soundcloud.com/piere-gorbeatz/tracks,5584610518,ID0701843,080-435-64-96,GiannaKling@.ddns.org,J7223875,94.156.189.0
42,"Mr Jenise Abshire has  fever . Patient SSN 502-42-5955 . He came on 25/7/1950 . Patient home address is  578 Welch Trace Unit 19 Millville , 1581 .
we gave him http://i106.photobucket.com/albums/m255/MX5_Dorifto/Lexus/G1.jpg . Patient account number 8325448528 . Medical record Id ID1150553 . Patient 048 257 419 Email is RodgerLynch@mixmail.com
Patient Id 692341726 . Here is the IP 103.139.113.0",Jenise Abshire,fever,502-42-5955,25/7/1950,578 Welch Trace Unit 19,Millville,1581,http://i106.photobucket.com/albums/m255/MX5_Dorifto/Lexus/G1.jpg,8325448528,ID1150553,048 257 419,RodgerLynch@mixmail.com,692341726,103.139.113.0
